season,week,fbg_id,player_name,position,team,stable_player_id,actual_score,actual_record,actual_score_imputed,top_projected,match_method,override_reason,error_type,severity,resolution_notes
2023,16,WrigBr00,Brock Wright,TE,DET,00-0036754,0.0,0,True,False,weekly_roster_name_position_team,,crosswalk_fields_disagree;no_actual_weekly_record;actual_score_created_from_missing_record,Info,crosswalk_fields_disagree
2023,16,JennJa00,Jauan Jennings,WR,MIN,00-0036259,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,16,CracRi00,River Cracraft,WR,WAS,00-0034054,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,16,BrooJa02,Jalen Brooks,WR,ARI,00-0038640,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,16,MoorSk00,Skyy Moore,WR,GB,00-0038090,0.0,0,True,False,master_name_position,,crosswalk_fields_disagree;no_actual_weekly_record;actual_score_created_from_missing_record,Info,crosswalk_fields_disagree
2023,17,AlleJo01,Josh Allen,QB,BUF,00-0034857,21.16,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,MahoPa00,Patrick Mahomes II,QB,KC,00-0033873,12.0,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,FielJu00,Justin Fields,QB,KC,00-0036945,25.22,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,MayfBa00,Baker Mayfield,QB,TB,00-0034855,16.26,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,TaylTy00,Tyrod Taylor,QB,GB,00-0028118,18.76,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,SticEa00,Easton Stick,QB,TB,00-0035282,11.9,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,WillMa05,Malik Willis,QB,MIA,00-0038128,0.0,0,True,True,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Warning,
2023,17,McCaCh00,Christian McCaffrey,RB,SF,00-0033280,13.1,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,KamaAl00,Alvin Kamara,RB,NO,00-0033906,6.9,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,WalkKe01,Ken Walker III,RB,KC,00-0038134,16.5,1,False,True,manual_override,FBG uses Ken Walker and a stale KC team in the historical export,master_name_conflict,Warning,manual_override_applied;master_name_conflict
2023,17,EtieTr00,Travis Etienne Jr.,RB,NO,00-0036973,25.8,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,GibbJa00,Jahmyr Gibbs,RB,DET,00-0039139,5.3,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,HarrNa00,Najee Harris,RB,NYG,00-0036893,24.2,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,GainKe00,Kenny Gainwell,RB,TB,00-0036919,6.68,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,McLaJa00,Jaleel McLaughlin,RB,CLE,00-0038794,9.2,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,SermTr00,Trey Sermon,RB,ATL,00-0036984,6.1,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,17,DemeEm00,Emari Demercado,RB,DAL,00-0038705,1.9,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,JohnTy00,Ty Johnson,RB,BUF,00-0035537,2.2,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,17,IngoAl00,Alec Ingold,RB,LAC,00-0035125,0.0,0,True,False,manual_override,Top-player gate override because the historical FBG row uses a stale LAC team while the weekly roster identifies Alec Ingold as RB 00-0035125 for MIA,no_actual_weekly_record;actual_score_created_from_missing_record,Info,manual_override_applied;gsis_id_not_in_master
2023,17,StroPi00,Pierre Strong Jr,RB,GB,00-0038098,0.9,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,17,RodrCh01,Chris Rodriguez Jr.,RB,JAX,00-0038611,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,17,OgunDa00,Dare Ogunbowale,RB,LV,00-0033854,0.0,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,17,BurtMi00,Michael Burton,RB,CLE,00-0031595,0.0,0,True,False,pfr_crosswalk_verified,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,gsis_id_not_in_master
2023,17,JuszKy00,Kyle Juszczyk,RB,SF,00-0029892,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,gsis_id_not_in_master
2023,17,LuepHu01,Hunter Luepke,RB,DAL,00-0038738,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,17,DallDe00,DeeJay Dallas,RB,MIN,00-0036425,0.0,1,False,False,master_name_position,,crosswalk_fields_disagree;master_team_context_differs,Info,crosswalk_fields_disagree;master_team_context_differs
2023,17,KelcTr00,Travis Kelce,TE,KC,00-0030506,4.6,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,KrafTu00,Tucker Kraft,TE,GB,00-0038996,10.8,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,OkonCh00,Chig Okonkwo,TE,WAS,00-0037809,6.4,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,KmetCo00,Cole Kmet,TE,CHI,00-0036290,0.0,0,True,True,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Warning,
2023,17,WallDa00,Darren Waller,TE,CAR,00-0031610,10.1,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,OttoCa00,Cade Otton,TE,TB,00-0038129,3.0,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,BrowPh00,Pharaoh Brown,TE,IND,00-0033439,-0.5,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,17,FantNo00,Noah Fant,TE,NO,00-0035644,10.9,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,17,KnoxDa00,Dawson Knox,TE,BUF,00-0035689,0.0,0,True,True,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Warning,
2023,17,GrayNo00,Noah Gray,TE,KC,00-0036637,4.7,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,17,ParkCo00,Colby Parkinson,TE,LA,00-0036244,5.8,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,17,SmarSt00,Stone Smartt,TE,NO,00-0037475,4.3,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,17,DurhPa00,Payne Durham,TE,TB,00-0039050,0.0,0,True,False,weekly_roster_name_position_team,,crosswalk_fields_disagree;no_actual_weekly_record;actual_score_created_from_missing_record,Info,crosswalk_fields_disagree
