"player_id","player_name","position","team","week","n_simulations","mean","median","floor","ceiling","p15","p85","probability_zero","probability_active","active_mean","active_p15","active_p85"
"StevRh00","Rhamondre Stevenson","RB","NE",1,100,9.14,6.5,1.77,15.715,1.77,15.715,0,1,9.14,1.77,15.715
"KelcTr00","Travis Kelce","TE","KC",1,100,9.072,7.625,2.12,17,2.12,17,0.03,1,9.072,2.12,17
"McLaJa00","Jaleel McLaughlin","RB","CLE",1,100,9.031,6.3,0.985,18.675,0.985,18.675,0.01,1,9.031,0.985,18.675
"TuteBh00","Bhayshul Tuten","RB","JAX",1,100,9,7.6,1.6,14.675,1.6,14.675,0,1,9,1.6,14.675
"KrafTu00","Tucker Kraft","TE","GB",1,100,8.8925,7.5,2.2025,14.7225,2.2025,14.7225,0.06,1,8.8925,2.2025,14.7225
"HarrMa05","Marvin Harrison Jr.","WR","ARI",1,100,8.8604,7.2,1.74,17.26,1.74,17.26,0.04,1,8.8604,1.74,17.26
"SuttCo00","Courtland Sutton","WR","DEN",1,100,8.8538,6.9,3.285,15.386,3.285,15.386,0.04,1,8.8538,3.285,15.386
"LemoMa00","Makai Lemon","WR","PHI",1,100,8.8412,7.15,1.2,16.845,1.2,16.845,0.05,1,8.8412,1.2,16.845
"DoubRo00","Romeo Doubs","WR","NE",1,100,8.762,6.3,2.3,16.365,2.3,16.365,0.04,1,8.762,2.3,16.365
"RidlCa00","Calvin Ridley","WR","TEN",1,100,8.734,7.65,1.47,17.12,1.47,17.12,0.01,1,8.734,1.47,17.12
"PittKy00","Kyle Pitts Sr.","TE","ATL",1,100,8.7225,8.5,2.2175,13.9875,2.2175,13.9875,0,1,8.7225,2.2175,13.9875
"McLaTe00","Terry McLaurin","WR","WAS",1,100,8.689,7.35,2.6,13.8,2.6,13.8,0.09,1,8.689,2.6,13.8
"WortXa00","Xavier Worthy","WR","KC",1,100,8.673,6.75,2,16.29,2,16.29,0.02,1,8.673,2,16.29
"JohnQu01","Quentin Johnston","WR","LAC",1,100,8.6598,7.15,1.97,17.1,1.97,17.1,0.05,1,8.6598,1.97,17.1
"RiceRa01","Rashee Rice","WR","KC",1,100,8.6216,7.35,2.8,13.815,2.8,13.815,0.08,1,8.6216,2.8,13.815
"BateRa00","Rashod Bateman","WR","BAL",1,100,8.5912,6.35,1.5,16.6,1.5,16.6,0.06,1,8.5912,1.5,16.6
"GoedDa00","Dallas Goedert","TE","PHI",1,100,8.5895,7.8,3.055,15.565,3.055,15.565,0.02,1,8.5895,3.055,15.565
"MeyeJa00","Jakobi Meyers","WR","JAX",1,100,8.5404,6.3,2.3,16.875,2.3,16.875,0.02,1,8.5404,2.3,16.875
"ShahRa00","Rashid Shaheed","WR","SEA",1,100,8.527,7,2.285,16.415,2.285,16.415,0.04,1,8.527,2.285,16.415
"TongJa00","Jake Tonges","TE","SF",1,100,8.361,7.175,2.35,15.65,2.35,15.65,0.01,1,8.361,2.35,15.65
"BoutKa00","Kayshon Boutte","WR","HOU",1,100,8.354,6.6,2.585,14.235,2.585,14.235,0.04,1,8.354,2.585,14.235
